date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:06	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:07%20GMT	https://www.megabox.co.kr/mypage/point-list	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/point-list	(from https://www.megabox.co.kr/benefit/viplounge)
15:34:06	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:07%20GMT	https://www.megabox.co.kr/mypage/discount-coupon	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/discount-coupon	(from https://www.megabox.co.kr/benefit/viplounge)
15:34:07	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:07%20GMT	https://www.megabox.co.kr/mypage/movie-coupon	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/movie-coupon	(from https://www.megabox.co.kr/benefit/viplounge)
15:34:07	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:07%20GMT	https://www.megabox.co.kr/mypage/bookinglist	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/bookinglist	(from https://www.megabox.co.kr/benefit/viplounge)
15:34:07	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:34:08%20GMT	https://www.megabox.co.kr/mypage/bookinglist?tab=02	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/mypage/bookinglist9703	(from https://www.megabox.co.kr/benefit/viplounge)
15:34:07	56670/56670	---M--	200	added ('OK')	image/jpeg	etag:%225f02f7e8:dd5e%22	https://img.megabox.co.kr/SharedImg/event/2020/07/06/DwqZp3mvVctC37dtuR9I2CZSgH5AIBWL.jpg	C:/Users/SiSt171/Desktop/mega/megabox/img.megabox.co.kr/SharedImg/event/2020/07/06/DwqZp3mvVctC37dtuR9I2CZSgH5AIBWL.jpg	(from https://www.megabox.co.kr/benefit/viplounge)
15:34:07	41409/41409	---M--	200	added ('OK')	image/jpeg	etag:%225efc3b8c:a1c1%22	https://img.megabox.co.kr/SharedImg/event/2020/07/01/GCdpoRVpTrUmADha2X55H0YlwLKc75h6.jpg	C:/Users/SiSt171/Desktop/mega/megabox/img.megabox.co.kr/SharedImg/event/2020/07/01/GCdpoRVpTrUmADha2X55H0YlwLKc75h6.jpg	(from https://www.megabox.co.kr/benefit/viplounge)
15:34:08	28817/28817	---M--	200	added ('OK')	image/jpeg	etag:%225e9d3a31:7091%22	https://img.megabox.co.kr/SharedImg/event/2020/04/20/nLXLlpCdJJeTda2jdnejxqRSHjpQBHPt.jpg	C:/Users/SiSt171/Desktop/mega/megabox/img.megabox.co.kr/SharedImg/event/2020/04/20/nLXLlpCdJJeTda2jdnejxqRSHjpQBHPt.jpg	(from https://www.megabox.co.kr/benefit/viplounge)
15:34:08	63580/63580	---M--	200	added ('OK')	image/jpeg	etag:%225e4f9d8b:f85c%22	https://img.megabox.co.kr/SharedImg/event/2020/02/21/oFER1mmPI4EFwg9pjnEosUI5H7wenOqB.jpg	C:/Users/SiSt171/Desktop/mega/megabox/img.megabox.co.kr/SharedImg/event/2020/02/21/oFER1mmPI4EFwg9pjnEosUI5H7wenOqB.jpg	(from https://www.megabox.co.kr/benefit/viplounge)
15:34:08	109933/109933	---M--	200	added ('OK')	image/jpeg	etag:%225e3892c3:1ad6d%22	https://img.megabox.co.kr/SharedImg/event/2020/02/04/gKsGCjwUJGTZkMJcp75e9O4iDP8ZSezP.jpg	C:/Users/SiSt171/Desktop/mega/megabox/img.megabox.co.kr/SharedImg/event/2020/02/04/gKsGCjwUJGTZkMJcp75e9O4iDP8ZSezP.jpg	(from https://www.megabox.co.kr/benefit/viplounge)
